,val_accuracy_test,val_accuracy_train,val_d_loss_test,val_g_loss_test,d_correct_test,d_correct_train,len_dataset_train
0,91.65,92.336,0.0012884384486824274,0.004110277630388737,191,92336,100000
1,89.5,91.074,0.0013126678531989455,0.004235405009239912,191,91074,100000
2,86.45,88.544,0.0014730150578543544,0.004350453149527311,179,88544,100000
3,86.35,86.922,0.0015271358424797654,0.004549312870949507,175,86922,100000
4,85.6,86.013,0.0014842270174995065,0.004969143774360418,176,86013,100000
5,86.2,85.441,0.001526039675809443,0.005240998696535826,172,85441,100000
6,85.15,85.558,0.0016420066822320223,0.0053793988190591335,174,85558,100000
7,84.8,85.376,0.0017125769518315792,0.005647673737257719,166,85376,100000
8,84.5,85.038,0.0017099191900342703,0.0060621267184615135,171,85038,100000
9,84.0,83.691,0.0016442433698102832,0.006275003310292959,171,83691,100000
10,81.75,82.556,0.0018294602632522583,0.006203821860253811,159,82556,100000
11,81.25,80.972,0.0018184399232268333,0.006236504763364792,162,80972,100000
12,79.4,79.777,0.0019253137288615108,0.006017145700752735,158,79777,100000
13,77.7,78.431,0.0020319216419011354,0.0056367842480540276,152,78431,100000
14,75.75,77.04,0.002118730451911688,0.005069284699857235,149,77040,100000
15,74.35,75.422,0.002164257923141122,0.0048803226090967655,146,75422,100000
16,72.35,73.604,0.0022376675624400377,0.0043860990554094315,156,73604,100000
17,70.15,71.796,0.002322576241567731,0.004049164708703756,145,71796,100000
18,67.55,69.701,0.0024027503095567226,0.003887812839820981,138,69701,100000
19,65.45,67.856,0.0024632862769067287,0.003647002624347806,126,67856,100000
20,63.1,65.798,0.0025530895218253136,0.003423356218263507,121,65798,100000
21,62.5,63.738,0.0025722612626850605,0.0033704128582030535,120,63738,100000
22,60.15,62.022,0.0026401770301163197,0.0032557989470660686,121,62022,100000
23,57.95,60.075,0.002716142451390624,0.003101654816418886,112,60075,100000
24,55.85,58.164,0.0027385614812374115,0.0030778422951698303,105,58164,100000
25,53.9,56.396,0.0027844263240695,0.003024791134521365,107,56396,100000
26,53.8,55.013,0.0027985605411231518,0.003008372848853469,104,55013,100000
27,52.7,53.565,0.002823498798534274,0.0029830713756382465,99,53565,100000
28,51.2,52.129,0.0028516000602394342,0.002899566665291786,107,52129,100000
29,49.65,51.282,0.0028704588767141104,0.0029157265089452267,102,51282,100000
30,49.05,50.245,0.0028773529920727015,0.00291461287997663,96,50245,100000
31,46.6,49.519,0.002892015967518091,0.002904163207858801,95,49519,100000
32,47.75,48.853,0.0028862652834504843,0.0028874585404992104,104,48853,100000
33,46.3,47.732,0.0028874347917735577,0.0028832016978412867,92,47732,100000
34,45.0,46.933,0.0028897852171212435,0.0028612175956368446,91,46933,100000
35,45.0,45.977,0.0028918073512613773,0.002883153036236763,92,45977,100000
36,41.05,45.469,0.0028942024800926447,0.0028208086732774973,75,45469,100000
37,40.8,45.204,0.0028928632382303476,0.002832443220540881,78,45204,100000
38,48.2,44.782,0.002889281138777733,0.002851397031918168,98,44782,100000
39,47.05,46.365,0.002887963317334652,0.002838508225977421,100,46365,100000
40,50.0,45.294,0.002883500186726451,0.0028601367957890034,104,45294,100000
41,44.45,46.52,0.0028813108801841736,0.0028257397934794426,97,46520,100000
42,50.0,46.0,0.002879729261621833,0.002836446277797222,104,46000,100000
43,39.2,46.164,0.002878764411434531,0.0028001824393868446,70,46164,100000
44,50.0,46.213,0.0028761434368789196,0.0028241113759577274,104,46213,100000
45,37.95,45.293,0.002874871017411351,0.002798298140987754,74,45293,100000
46,50.0,44.795,0.0028710905462503433,0.002843998372554779,104,44795,100000
47,38.85,46.316,0.0028705825097858906,0.002793696941807866,68,46316,100000
48,50.0,45.836,0.0028664851561188698,0.0028185504488646984,104,45836,100000
49,50.0,46.889,0.002865998540073633,0.0028251982294023037,104,46889,100000
