,val_accuracy_test,val_accuracy_train,val_d_loss_test,val_g_loss_test,d_correct_test,d_correct_train,len_dataset_train
0,92.15,92.323,0.0013202113332226872,0.004076286684721708,190,92323,100000
1,91.15,92.461,0.0013002832420170307,0.004086379427462816,193,92461,100000
2,91.15,91.678,0.0012833124492317438,0.004182309843599796,186,91678,100000
3,89.15,90.386,0.0013414488639682531,0.004204229451715946,188,90386,100000
4,88.15,89.101,0.0013960045762360096,0.004258998669683933,183,89101,100000
5,87.55,88.149,0.0014082381967455149,0.004409730900079012,181,88149,100000
6,87.9,87.233,0.0014026204589754343,0.004640954080969095,177,87233,100000
7,85.4,86.723,0.001576969283632934,0.004545772448182106,174,86723,100000
8,86.7,86.179,0.001519007608294487,0.004814137704670429,178,86179,100000
9,85.8,85.807,0.0015087532810866833,0.004990218672901392,178,85807,100000
10,85.8,85.5,0.001547842170111835,0.005063407588750124,179,85500,100000
11,85.05,85.574,0.0016100017819553614,0.005101548507809639,168,85574,100000
12,85.9,85.513,0.0015839928528293967,0.0053458260372281075,178,85513,100000
13,85.55,85.433,0.0016215720679610968,0.00545195909217,167,85433,100000
14,85.5,85.441,0.0015626259846612811,0.0056136660277843475,174,85441,100000
15,85.05,85.365,0.0015994312707334757,0.005727401003241539,174,85365,100000
16,85.25,85.147,0.0016117087798193097,0.00594117259606719,168,85147,100000
17,84.9,84.593,0.0016229451866820455,0.0061426544561982155,168,84593,100000
18,83.0,84.148,0.0017266538925468922,0.005966762080788612,166,84148,100000
19,84.0,83.507,0.001720975385978818,0.006154370494186878,176,83507,100000
20,81.1,82.782,0.001844760961830616,0.0059678396210074425,158,82782,100000
21,82.25,82.111,0.001712345634587109,0.006427370943129063,169,82111,100000
22,82.25,81.622,0.001811581663787365,0.006252276245504618,169,81622,100000
23,79.3,80.781,0.0019255324732512236,0.005925178062170744,156,80781,100000
24,79.05,80.144,0.001993648475036025,0.0057528819888830185,147,80144,100000
25,79.65,79.551,0.0019165240228176117,0.006133134011179209,162,79551,100000
26,77.7,78.846,0.0020431240554898977,0.0057355137541890144,154,78846,100000
27,77.85,78.126,0.0020443100947886705,0.005458679050207138,148,78126,100000
28,76.6,77.28,0.0021076416596770287,0.005331610329449177,147,77280,100000
29,75.95,76.597,0.0020994883961975574,0.005193288903683424,150,76597,100000
30,75.45,75.564,0.002118172822520137,0.005008846987038851,153,75564,100000
31,73.25,74.961,0.002194404136389494,0.004724434576928616,157,74961,100000
32,73.45,74.062,0.0021828729659318924,0.004629950039088726,151,74062,100000
33,72.9,73.144,0.0022162983659654856,0.00455528125166893,147,73144,100000
34,71.85,72.353,0.002268744632601738,0.00428710225969553,147,72353,100000
35,70.2,71.476,0.0023136395029723644,0.004058762453496456,136,71476,100000
36,69.0,70.408,0.0023728907108306885,0.00396904768422246,134,70408,100000
37,67.5,69.397,0.0024276471231132746,0.0037687737494707108,130,69397,100000
38,66.65,68.398,0.0024451783392578363,0.00371502130292356,135,68398,100000
39,67.05,67.256,0.0024245327804237604,0.00375350727699697,139,67256,100000
40,64.55,66.624,0.0025059583131223917,0.003539892379194498,137,66624,100000
41,63.4,65.551,0.002535413485020399,0.003456846345216036,134,65551,100000
42,61.3,64.551,0.0025826627388596535,0.0033770822919905186,123,64551,100000
43,60.75,63.507,0.002614446682855487,0.0032932679168879986,118,63507,100000
44,61.05,62.557,0.0026320081669837236,0.003242138074710965,119,62557,100000
45,60.3,61.551,0.0026324070058763027,0.003274128772318363,120,61551,100000
46,58.45,60.552,0.0027024229057133198,0.003122930647805333,120,60552,100000
47,56.7,59.499,0.0027178137097507715,0.0031317241955548525,107,59499,100000
48,57.25,58.747,0.002707257866859436,0.0031507296953350306,112,58747,100000
49,56.05,57.793,0.0027391035109758377,0.0031047207303345203,110,57793,100000
