,val_accuracy_test,val_accuracy_train,val_d_loss_test,val_g_loss_test,d_correct_test,d_correct_train,len_dataset_train
0,88.0,91.309,0.0013895474839955568,0.004249830264598131,186,91309,100000
1,85.65,86.76,0.0015451752115041018,0.004943049047142267,177,86760,100000
2,85.65,85.528,0.0015296657802537084,0.005711505655199289,175,85528,100000
3,82.75,84.375,0.0017442656680941582,0.0062427581287920475,171,84375,100000
4,80.05,81.555,0.0018904884345829487,0.00605798652395606,159,81555,100000
5,76.25,78.083,0.0020638054702430964,0.005250953603535891,147,78083,100000
6,70.25,74.1,0.002284435788169503,0.0042633009143173695,148,74100,100000
7,66.85,69.564,0.002454865025356412,0.003648459678515792,140,69564,100000
8,60.2,64.402,0.002631964860484004,0.003221970982849598,125,64402,100000
9,54.9,59.699,0.002761230571195483,0.0030073875095695257,116,59699,100000
10,51.65,55.307,0.0028268310707062483,0.0029513046611100435,103,55307,100000
11,48.7,52.048,0.002879483625292778,0.0028904518112540245,89,52048,100000
12,47.45,49.648,0.002881561638787389,0.002911130664870143,94,49648,100000
13,44.6,47.6,0.0028917924501001835,0.0028852655086666346,90,47600,100000
14,50.0,45.956,0.0028888853266835213,0.002880500163882971,104,45956,100000
15,50.0,45.489,0.00288593303412199,0.0028512952849268913,104,45489,100000
16,36.95,45.537,0.002882004249840975,0.002790016820654273,73,45537,100000
17,47.0,45.129,0.0028768698684871197,0.002813891740515828,93,45129,100000
18,50.0,44.648,0.0028699857648462057,0.00284916372038424,104,44648,100000
19,50.0,45.712,0.002865349408239126,0.0028306706808507442,104,45712,100000
20,46.45,46.792,0.0028602411039173603,0.0028064579237252474,85,46792,100000
21,50.1,48.507,0.0028537013567984104,0.0028110998682677746,101,48507,100000
22,53.75,50.44,0.0028486279770731926,0.0028134959284216166,105,50440,100000
23,50.0,51.171,0.0028428167570382357,0.0028485713992267847,104,51171,100000
24,50.15,52.344,0.0028370970394462347,0.002831576857715845,104,52344,100000
25,50.0,53.082,0.0028322383295744658,0.0028351021464914083,104,53082,100000
26,59.05,52.851,0.002828131662681699,0.0028221565298736095,122,52851,100000
27,54.05,53.305,0.002821706235408783,0.0028394723776727915,112,53305,100000
28,60.75,54.242,0.0028172244783490896,0.002824855502694845,126,54242,100000
29,54.9,56.419,0.0028129483107477427,0.002847818424925208,116,56419,100000
30,58.95,56.919,0.0028088737744838,0.0028367445338517427,124,56919,100000
31,50.0,58.359,0.0028043154161423445,0.0028875344432890415,104,58359,100000
32,59.15,58.094,0.002800884423777461,0.0028387748170644045,124,58094,100000
33,59.05,59.355,0.0027967437636107206,0.002844038652256131,124,59355,100000
34,59.75,59.699,0.002793362829834223,0.0028399673756211996,125,59699,100000
35,59.1,60.045,0.002789642894640565,0.002847479423508048,124,60045,100000
36,62.85,60.227,0.002787153935059905,0.002815149025991559,126,60227,100000
37,62.0,60.442,0.0027835273649543524,0.002831949619576335,127,60442,100000
38,59.35,60.724,0.0027806947473436594,0.0028503378853201866,125,60724,100000
39,60.15,60.584,0.0027771852910518646,0.0028471010737121105,125,60584,100000
40,58.55,61.006,0.002774699591100216,0.0028643941041082144,123,61006,100000
41,59.75,60.598,0.0027719957288354635,0.00285177119076252,125,60598,100000
42,58.3,61.01,0.002767906989902258,0.002875293605029583,122,61010,100000
43,61.8,60.618,0.002766513032838702,0.002841803478077054,126,60618,100000
44,59.25,61.146,0.0027632785495370626,0.0028655005153268576,124,61146,100000
45,60.2,60.735,0.0027609586250036955,0.002858518622815609,125,60735,100000
46,58.65,61.412,0.00275831064209342,0.002883767709136009,123,61412,100000
47,62.0,61.104,0.0027568810619413853,0.0028493963181972504,127,61104,100000
48,59.75,61.678,0.0027525334153324366,0.002878451021388173,125,61678,100000
49,60.25,61.687,0.0027501005679368973,0.002881973050534725,125,61687,100000
