,val_accuracy_test,val_accuracy_train,val_d_loss_test,val_g_loss_test,d_correct_test,d_correct_train,len_dataset_train
0,84.25,88.915,0.00157599663361907,0.00483085960149765,176,88915,100000
1,82.95,84.874,0.0017462712712585926,0.006141082849353552,167,84874,100000
2,76.4,79.886,0.002103447914123535,0.005220391787588596,160,79886,100000
3,64.75,71.845,0.0024917153641581535,0.0036479493137449026,129,71845,100000
4,56.0,62.004,0.002745730336755514,0.0030693947337567806,119,62004,100000
5,50.45,53.397,0.002864378271624446,0.002967204200103879,100,53397,100000
6,50.0,48.724,0.002892295829951763,0.0029450564179569483,104,48724,100000
7,40.15,45.622,0.0028845123015344143,0.0028023587074130774,75,45622,100000
8,39.3,44.927,0.0028766535688191652,0.00280187139287591,73,44927,100000
9,50.0,44.368,0.002864676062017679,0.002824213821440935,104,44368,100000
10,50.0,47.527,0.0028533684089779854,0.0028254776261746883,104,47527,100000
11,50.0,50.164,0.0028424239717423916,0.0028336383402347565,104,50164,100000
12,50.0,51.949,0.0028320406563580036,0.002853162121027708,104,51949,100000
13,50.0,54.074,0.0028212061151862144,0.002848442643880844,104,54074,100000
14,50.0,54.805,0.0028124558739364147,0.002856906270608306,104,54805,100000
15,50.0,56.814,0.0028043023776263,0.0028769122436642647,104,56814,100000
16,62.65,58.31,0.0027972273528575897,0.0028227069415152073,131,58310,100000
17,59.6,59.253,0.0027897388208657503,0.0028417613357305527,125,59253,100000
18,57.3,60.186,0.0027830207254737616,0.002870975760743022,121,60186,100000
19,58.3,60.442,0.0027769925072789192,0.002865050919353962,122,60442,100000
20,61.3,60.792,0.002771490952000022,0.0028454032726585865,127,60792,100000
21,61.95,60.638,0.002766324207186699,0.0028385096229612827,125,60638,100000
22,61.35,60.969,0.002760225208476186,0.0028530536219477654,126,60969,100000
23,58.85,61.0,0.002755477325990796,0.002887188224121928,123,61000,100000
24,62.95,61.312,0.002750289859250188,0.002851425437256694,128,61312,100000
25,62.25,62.067,0.0027452597860246897,0.0028671270702034235,127,62067,100000
26,63.3,62.24,0.002740278607234359,0.002866773633286357,128,62240,100000
27,61.5,62.428,0.002734448527917266,0.00290729315020144,128,62428,100000
28,62.55,62.691,0.002729647560045123,0.0028986246325075626,131,62691,100000
29,62.65,63.068,0.0027261709328740835,0.002898270497098565,133,63068,100000
30,63.25,63.116,0.002722774865105748,0.002896822290495038,131,63116,100000
31,61.3,63.157,0.00271831382997334,0.002965392544865608,132,63157,100000
32,62.75,63.087,0.0027170146349817514,0.002889403374865651,137,63087,100000
33,62.65,62.78,0.0027137822471559048,0.002902440959587693,137,62780,100000
34,60.2,61.64,0.0027222076896578074,0.002885037800297141,132,61640,100000
35,58.1,60.117,0.002726250095292926,0.002836282830685377,129,60117,100000
36,55.75,57.87,0.0027398508973419666,0.002857998013496399,125,57870,100000
37,53.75,54.939,0.002757521579042077,0.0028186545241624117,122,54939,100000
38,50.55,51.472,0.002775108441710472,0.0027404166758060455,108,51472,100000
39,45.75,48.331,0.002807543845847249,0.002810413483530283,106,48331,100000
40,44.0,45.843,0.0028325195889919996,0.0026548521127551794,98,45843,100000
41,43.0,44.157,0.0028247246518731117,0.0026625506579875946,101,44157,100000
42,50.0,45.997,0.0028307298198342323,0.0025763262528926134,104,45997,100000
43,50.0,48.692,0.0028166375122964382,0.0025796040426939726,104,48692,100000
44,50.0,49.984,0.002797586377710104,0.0026005276013165712,104,49984,100000
45,51.7,50.05,0.002779569011181593,0.002691833069548011,104,50050,100000
46,57.8,56.044,0.0027770923916250467,0.0026605476159602404,120,56044,100000
47,60.8,59.774,0.00275686988607049,0.002688969951122999,119,59774,100000
48,58.1,59.722,0.002755168592557311,0.002754014218226075,126,59722,100000
49,57.35,59.656,0.0027517059352248907,0.002772778505459428,117,59656,100000
