,val_accuracy_test,val_accuracy_train,val_d_loss_test,val_g_loss_test,d_correct_test,d_correct_train,len_dataset_train
0,84.5,88.907,0.00160077097825706,0.004793019965291023,169,88907,100000
1,83.65,85.095,0.0017002624226734042,0.006302299443632364,165,85095,100000
2,77.0,79.703,0.0020680795423686504,0.005311824381351471,152,79703,100000
3,66.5,72.001,0.0024823378771543503,0.0035297723952680826,131,72001,100000
4,56.25,62.178,0.0027359684463590384,0.0030777775682508945,102,62178,100000
5,50.9,53.611,0.0028589866124093533,0.002961906371638179,99,53611,100000
6,46.15,48.607,0.0028923172503709793,0.002897439757362008,97,48607,100000
7,39.95,45.69,0.0028857369907200336,0.00281360000371933,82,45690,100000
8,34.75,44.18,0.0028775988612324,0.002771020168438554,66,44180,100000
9,39.55,44.452,0.002866357797756791,0.0027822142001241446,64,44452,100000
10,51.8,47.551,0.0028541642241179943,0.002814204664900899,109,47551,100000
11,54.55,50.281,0.002842155285179615,0.0028099683113396168,116,50281,100000
12,50.0,52.119,0.0028320723213255405,0.002860983135178685,104,52119,100000
13,50.0,53.688,0.002822207286953926,0.002849652897566557,104,53688,100000
14,57.25,54.613,0.0028130586724728346,0.002843753434717655,120,54613,100000
15,50.0,56.602,0.002804727293550968,0.0028840075246989727,104,56602,100000
16,62.5,58.18,0.0027976064011454582,0.0028230068273842335,130,58180,100000
17,61.95,59.535,0.0027906405739486217,0.0028280732221901417,127,59535,100000
18,57.25,60.309,0.002783316420391202,0.002871687989681959,121,60309,100000
19,58.35,60.498,0.0027768337167799473,0.002865850692614913,122,60498,100000
20,61.5,60.597,0.0027724129613488913,0.0028423608746379614,127,60597,100000
21,61.75,60.607,0.002766295801848173,0.002844369038939476,127,60607,100000
22,61.55,60.92,0.0027612606063485146,0.0028480400796979666,125,60920,100000
23,58.35,61.067,0.002755588386207819,0.0028950918931514025,122,61067,100000
24,62.8,61.291,0.002751125255599618,0.002853020327165723,128,61291,100000
25,61.0,61.799,0.002745306119322777,0.0028798531275242567,127,61799,100000
26,63.6,62.347,0.002741706557571888,0.002855719067156315,130,62347,100000
27,61.05,62.656,0.002734442474320531,0.002917982405051589,128,62656,100000
28,62.85,62.666,0.0027307653799653053,0.002891327952966094,133,62666,100000
29,62.9,63.021,0.0027262994553893805,0.002898964798077941,133,63021,100000
30,63.15,63.05,0.0027225154917687178,0.002906139474362135,136,63050,100000
31,61.25,63.085,0.0027186423540115356,0.002964695682749152,133,63085,100000
32,62.7,63.059,0.00271627283655107,0.0028953664004802704,137,63059,100000
33,61.6,62.844,0.0027166970539838076,0.0028689615428447723,135,62844,100000
34,60.5,61.854,0.0027192216366529465,0.0028871018439531326,129,61854,100000
35,59.0,60.169,0.002726542064920068,0.002895646495744586,128,60169,100000
36,53.8,58.127,0.0027426325250416994,0.0028090747073292732,114,58127,100000
37,53.8,55.081,0.002755768597126007,0.0028372234664857388,123,55081,100000
38,48.95,51.672,0.002783181145787239,0.0027772311586886644,115,51672,100000
39,46.7,48.425,0.002803195035085082,0.002765798708423972,107,48425,100000
40,43.8,45.806,0.0028308932669460773,0.0026673339307308197,93,45806,100000
41,46.7,44.218,0.0028278608806431293,0.0025991240981966257,97,44218,100000
42,41.15,45.405,0.0028266131412237883,0.0026524157728999853,95,45405,100000
43,50.0,48.259,0.002818041481077671,0.002544038463383913,104,48259,100000
44,50.0,49.972,0.0028024197090417147,0.0025586565025150776,104,49972,100000
45,51.35,50.128,0.0027884652372449636,0.0026794648729264736,109,50128,100000
46,55.8,55.555,0.0027745624538511038,0.0027355016209185123,113,55555,100000
47,60.75,59.748,0.002761662472039461,0.0027029039338231087,134,59748,100000
48,58.3,60.063,0.002758594462648034,0.002706516068428755,119,60063,100000
49,58.3,59.935,0.0027522246818989515,0.0027018478140234947,112,59935,100000
