,val_accuracy_test,val_accuracy_train,val_d_loss_test,val_g_loss_test,d_correct_test,d_correct_train,len_dataset_train
0,25.8,61.885,0.002891439711675048,0.0027327113784849644,54,61885,100000
1,50.0,44.889,0.002807531040161848,0.00288581196218729,104,44889,100000
2,50.25,55.272,0.002766285790130496,0.00301537336781621,104,55272,100000
3,67.3,61.189,0.0027297039050608873,0.0028445732314139605,139,61189,100000
4,58.6,63.545,0.002717016963288188,0.0030310896690934896,132,63545,100000
5,50.0,49.184,0.0027911607176065445,0.0025905563961714506,104,49184,100000
6,59.1,57.568,0.0027518582064658403,0.002690836787223816,106,57568,100000
7,50.25,56.17,0.002778726862743497,0.002757368143647909,99,56170,100000
8,48.1,50.22,0.002783699193969369,0.0027888792101293802,98,50220,100000
9,50.8,50.373,0.0027750495355576277,0.0027868717443197966,105,50373,100000
10,49.0,49.875,0.002773201558738947,0.002771337516605854,99,49875,100000
11,46.35,49.851,0.0027741650119423866,0.0027591895777732134,84,49851,100000
12,49.8,49.541,0.0027741100639104843,0.0027863436844199896,103,49541,100000
13,51.45,50.869,0.0027712967712432146,0.002799526322633028,102,50869,100000
14,52.25,51.622,0.0027692147996276617,0.002853637095540762,108,51622,100000
15,51.3,51.617,0.0027673006989061832,0.002782396972179413,102,51617,100000
16,50.95,51.221,0.002777337096631527,0.0027368206065148115,97,51221,100000
17,53.15,52.539,0.00277275824919343,0.0027471997309476137,107,52539,100000
18,50.4,52.594,0.00277323299087584,0.0027913309168070555,101,52594,100000
19,51.05,52.742,0.0027675924357026815,0.0028333840891718864,110,52742,100000
20,52.55,52.682,0.0027712895534932613,0.0027542097959667444,110,52682,100000
21,49.15,52.156,0.0027753368485718966,0.002738570561632514,105,52156,100000
22,49.85,52.112,0.0027732846792787313,0.002790332306176424,96,52112,100000
23,51.5,51.622,0.0027691537979990244,0.002777200425043702,105,51622,100000
24,52.15,51.583,0.0027684869710355997,0.0027592508122324944,99,51583,100000
25,51.25,51.158,0.0027704345993697643,0.0027695733588188887,102,51158,100000
26,49.6,51.173,0.0027744269464164972,0.002759806113317609,89,51173,100000
27,48.5,50.771,0.002777369227260351,0.0027605483774095774,110,50771,100000
28,49.65,50.889,0.002773124724626541,0.002772374777123332,104,50889,100000
29,51.05,50.833,0.002772740786895156,0.0027855054941028357,107,50833,100000
30,49.1,50.873,0.002773848595097661,0.002765289507806301,87,50873,100000
31,50.9,50.708,0.0027730928268283606,0.0027894137892872095,97,50708,100000
32,50.5,50.996,0.0027729093562811613,0.0027760989032685757,106,50996,100000
33,49.9,51.01,0.0027741300873458385,0.00277024251408875,99,51010,100000
34,49.75,51.08,0.002774097491055727,0.00277742394246161,100,51080,100000
35,50.6,51.243,0.002769594080746174,0.002788325771689415,93,51243,100000
36,50.85,51.317,0.0027689889539033175,0.002744438825175166,105,51317,100000
37,50.7,51.386,0.0027726846747100353,0.0027644026558846235,100,51386,100000
38,51.15,51.436,0.00277313101105392,0.0027845539152622223,94,51436,100000
39,50.55,51.453,0.0027727249544113874,0.002761771669611335,100,51453,100000
40,49.15,51.194,0.002775483997538686,0.0027846433222293854,97,51194,100000
41,49.45,51.583,0.002775003667920828,0.002779525937512517,108,51583,100000
42,49.65,51.21,0.0027751668822020292,0.00276845577172935,99,51210,100000
43,50.4,51.572,0.0027738988865166903,0.002759779803454876,99,51572,100000
44,50.05,51.278,0.0027741617523133755,0.00276801735162735,110,51278,100000
45,49.85,51.26,0.0027745962142944336,0.002785544842481613,103,51260,100000
46,50.8,51.168,0.002773146377876401,0.002781500341370702,100,51168,100000
47,49.75,51.263,0.0027748188003897667,0.002751254243776202,101,51263,100000
48,51.9,51.265,0.002771998755633831,0.0027974070981144905,107,51265,100000
49,50.05,51.005,0.002772925654426217,0.002761207753792405,100,51005,100000
