,val_accuracy_test,val_accuracy_train,val_d_loss_test,val_g_loss_test,d_correct_test,d_correct_train,len_dataset_train
0,90.95,91.486,0.0014738133177161217,0.004001649562269449,185,91486,100000
1,91.05,92.161,0.0014131783973425627,0.004039725288748741,187,92161,100000
2,92.05,92.557,0.0013607735745608807,0.004084067419171333,189,92557,100000
3,92.1,92.711,0.001349747646600008,0.004047490656375885,191,92711,100000
4,92.8,92.793,0.001318350899964571,0.004088889807462692,193,92793,100000
5,92.3,92.789,0.0013195232022553682,0.0040665725246071815,194,92789,100000
6,92.65,92.743,0.0012917137937620282,0.004095334094017744,193,92743,100000
7,92.6,92.593,0.001280205324292183,0.0041178991086781025,191,92593,100000
8,91.75,92.514,0.0012840982526540756,0.004110229667276144,190,92514,100000
9,91.45,92.236,0.0012864154996350408,0.004089892841875553,193,92236,100000
10,92.55,92.04,0.0012491063680499792,0.00417829817160964,197,92040,100000
11,91.7,91.678,0.0012736001517623663,0.004141093697398901,189,91678,100000
12,91.65,91.657,0.0012624255614355206,0.004172793589532375,185,91657,100000
13,91.1,91.388,0.0012708337744697928,0.004159078001976013,185,91388,100000
14,90.5,91.094,0.001281956909224391,0.004156384617090225,190,91094,100000
15,91.3,90.859,0.001247346866875887,0.004252340644598007,186,90859,100000
16,89.55,90.721,0.00130206358153373,0.004180704243481159,191,90721,100000
17,89.95,90.356,0.0012873453088104725,0.004234900698065758,179,90356,100000
18,89.45,90.176,0.0013325541513040662,0.004192992113530636,185,90176,100000
19,89.45,89.881,0.0013226161245256662,0.004219489637762308,191,89881,100000
20,89.3,89.722,0.0013522637309506536,0.004249428398907185,187,89722,100000
21,89.25,89.473,0.0013192923506721854,0.004267261829227209,180,89473,100000
22,88.65,89.197,0.0013314202660694718,0.004259512294083834,184,89197,100000
23,87.45,88.964,0.0014071918558329344,0.004171345382928848,182,88964,100000
24,88.55,88.728,0.001362142153084278,0.004267741460353136,185,88728,100000
25,87.85,88.581,0.0014216838171705604,0.004289188422262669,185,88581,100000
26,87.65,88.329,0.0013542455853894353,0.004339846316725016,185,88329,100000
27,88.15,88.139,0.0013925115345045924,0.004361668601632118,179,88139,100000
28,87.75,88.03,0.0013507321709766984,0.004456014838069677,182,88030,100000
29,87.4,87.69,0.0014188878703862429,0.004376024007797241,184,87690,100000
30,87.75,87.619,0.0013932876754552126,0.004475326277315617,184,87619,100000
31,86.9,87.391,0.0015002599684521556,0.004368965048342943,180,87391,100000
32,86.2,87.212,0.0014954854268580675,0.004392013885080814,175,87212,100000
33,86.15,87.233,0.001485710497945547,0.004460281226783991,180,87233,100000
34,85.9,87.02,0.0014745782827958465,0.004451625980436802,175,87020,100000
35,86.25,87.081,0.0014877859503030777,0.0045448187738657,177,87081,100000
36,86.45,86.787,0.0014920196263119578,0.0045247129164636135,176,86787,100000
37,86.4,86.649,0.001521866419352591,0.0046206084080040455,178,86649,100000
38,86.75,86.563,0.001489410176873207,0.004640484228730202,181,86563,100000
39,86.85,86.465,0.0014787932159379125,0.0046465760096907616,176,86465,100000
40,86.1,86.358,0.0015106202336028218,0.004652305506169796,169,86358,100000
41,86.1,86.144,0.0014850476291030645,0.004690248519182205,182,86144,100000
42,85.35,86.218,0.0015320120146498084,0.004651927854865789,175,86218,100000
43,84.15,86.011,0.0016493124421685934,0.004613550379872322,167,86011,100000
44,84.7,85.942,0.0015608150279149413,0.004632800351828337,170,85942,100000
45,85.1,85.756,0.0015464011812582612,0.004703317303210497,171,85756,100000
46,84.4,85.899,0.0015999231254681945,0.0046560754999518394,170,85899,100000
47,86.35,85.826,0.0015445909230038524,0.004854041151702404,171,85826,100000
48,85.35,85.665,0.0015481971204280853,0.004831156227737665,179,85665,100000
49,84.5,85.844,0.0016406109789386392,0.004790036473423243,173,85844,100000
