,val_accuracy_test,val_accuracy_train,val_d_loss_test,val_g_loss_test,d_correct_test,d_correct_train,len_dataset_train
0,57.15,77.648,0.0027393910568207502,0.003172010648995638,114,77648,100000
1,50.0,46.601,0.002871967386454344,0.002843073569238186,104,46601,100000
2,50.0,47.161,0.0028229968156665564,0.0030396291986107826,104,47161,100000
3,52.85,54.297,0.002787247532978654,0.002784013980999589,116,54297,100000
4,57.85,58.186,0.0027590820100158453,0.0028921845369040966,122,58186,100000
5,60.7,60.705,0.0027354767080396414,0.0029189405031502247,127,60705,100000
6,61.1,62.557,0.002717011608183384,0.0029794378206133842,133,62557,100000
7,55.4,60.988,0.0027367849834263325,0.002824164694175124,128,60988,100000
8,43.25,49.618,0.00283591216430068,0.002636675490066409,95,49618,100000
9,55.9,48.136,0.002785108285024762,0.002663109917193651,109,48136,100000
10,58.8,59.254,0.0027408141177147627,0.002783621894195676,114,59254,100000
11,54.7,58.185,0.002760268747806549,0.0026618645060807467,109,58185,100000
12,49.1,53.103,0.002778815571218729,0.0027734937611967325,100,53103,100000
13,50.65,50.408,0.002783555071800947,0.0028233444318175316,101,50408,100000
14,49.45,50.259,0.002780023729428649,0.00278374832123518,101,50259,100000
15,49.7,50.556,0.002777711022645235,0.002790141850709915,88,50556,100000
16,49.1,50.196,0.002775172470137477,0.002767583355307579,102,50196,100000
17,48.9,50.346,0.002773461863398552,0.0027786842547357082,96,50346,100000
18,51.75,49.837,0.002770784543827176,0.0027931167278438807,99,49837,100000
19,50.95,50.31,0.0027727829292416573,0.0027934894897043705,101,50310,100000
20,48.75,50.693,0.0027720946818590164,0.0027666103560477495,103,50693,100000
21,49.9,51.537,0.0027682932559400797,0.002776037435978651,104,51537,100000
22,50.4,51.078,0.0027695612516254187,0.002793446648865938,94,51078,100000
23,51.3,51.722,0.002767496043816209,0.002781993942335248,111,51722,100000
24,49.25,51.468,0.002769982907921076,0.002769358456134796,94,51468,100000
25,49.7,51.063,0.0027744092512875795,0.0027792761102318764,99,51063,100000
26,51.35,51.434,0.0027736492920666933,0.0027629707474261522,100,51434,100000
27,51.65,51.9,0.002777855144813657,0.0027276966720819473,99,51900,100000
28,50.95,52.29,0.002777355955913663,0.002729311352595687,111,52290,100000
29,51.6,52.425,0.0027730169240385294,0.0027830051258206367,110,52425,100000
30,50.6,52.797,0.002775791799649596,0.0027600338216871023,93,52797,100000
31,50.15,52.422,0.002771361730992794,0.0028115580789744854,103,52422,100000
32,50.3,52.509,0.0027741563972085714,0.002764392178505659,104,52509,100000
33,51.55,52.468,0.0027725822292268276,0.0027821799740195274,99,52468,100000
34,53.15,52.532,0.002767483936622739,0.002769594546407461,112,52532,100000
35,50.55,52.184,0.0027725612744688988,0.0027883260045200586,97,52184,100000
36,51.5,52.246,0.00277154054492712,0.002761414274573326,109,52246,100000
37,51.1,51.922,0.002776013221591711,0.0027601036708801985,103,51922,100000
38,51.15,51.794,0.0027700525242835283,0.0027784642297774553,107,51794,100000
39,51.3,51.853,0.002771669300273061,0.0027916666585952044,96,51853,100000
40,50.15,51.6,0.002776561537757516,0.0027800702955573797,89,51600,100000
41,50.6,51.574,0.002772561740130186,0.002766227815300226,103,51574,100000
42,51.5,51.386,0.002768812933936715,0.002795182168483734,98,51386,100000
43,49.65,51.424,0.0027749629225581884,0.0027510214131325483,93,51424,100000
44,49.8,51.231,0.0027733612805604935,0.002784601179882884,93,51231,100000
45,49.35,51.179,0.002775151515379548,0.002768187550827861,99,51179,100000
46,50.2,51.081,0.0027731454465538263,0.0027819385286420584,98,51081,100000
47,49.85,50.957,0.0027726334519684315,0.0027659146580845118,99,50957,100000
48,49.35,50.968,0.002774764783680439,0.002789165358990431,88,50968,100000
49,50.25,50.959,0.0027732914313673973,0.0027879015542566776,96,50959,100000
